example_id,context,description,category,confidence,reviewer_notes
L22-0589, only evidence that he adduced to prove otherwise were certain [ letters]  written by estate agents or valuers. The court,,,,
L22-0590,"-30s, with Etienne Brule widely [ believed]  to have been the first European explorer to visit in",,,,
L22-0591,".

History
The Soldier's Monument Association [ formed]  in Aurora in 1869 with the",,,,
L22-0592," about two thousand years ago, when the camel was [ introduced]  to the Sahara from Arabia. The Tuareg",,,,
L22-0593," on states and municipalities. For example, creating a [ state]  fund for the disabled, providing barrier-free access",,,,
L22-0594,". Upon its ruins General Oglethorpe founded Dari [en]  in 1736.
The block",,,,
L22-0595, was created in an artificial media with the computer on [ first]  place. to have artificial intelligence we first need a,,,,
L22-0596,98. He won the Best Taiwanese Male Singer [ award]  at the 20th Golden Melody Awards.,,,,
L22-0597,"2020, Netwrix received a [ majority]  investment from TA Associates.

On 4 January",,,,
L22-0598," to the truth conditions of the complete utterance, even [ if]  the Russellian specification of truth-conditions is accepted",,,,
L22-0599," in any case, so the computer can be completely [ operated]  via the serial interface with a teletype.",,,,
L22-0600," into Lake Huron.  Located  east of Che [boy] gan, it marks the east end of the South",,,,
L22-0601," genus Aristida, which includes several small feathery [ grasses]  native to southern Africa. Um Twa is the",,,,
L22-0602," coastal areas, both the people and the buildings are [ unused]  to winter weather. Extreme cold may mean temperatures just",,,,
L22-0603, and was gathered to his people.” So which is [ it] ; did he or didn’t he pass on,,,,
L22-0604," element in the men's singles discipline, while [ it]  is still rare among female single skaters. As of",,,,
L22-0605, context of persons. Many people use the name Ke [eran]  as it is both English (when spelled differently),,,,
L22-0606," positions that would open the route to Nuremberg before the [ enemy]  could organize his defense of that city, was pinned",,,,
L22-0607," programming from the University of Alaska at Juneau. [ In]  the late 1980s, he",,,,
L22-0608, television and radio. He featured on a ten- [minute]  promotional film made by Pathé that was regularly shown,,,,
L22-0609," of these objectives can be achieved without having to transact [ in]  physical property; synthetic real estate.

Defining property",,,,
L22-0610," The book opens with a chapter by the field’ [s]  founding father, John Avise, reviewing the ",,,,
L22-0611,"us) is a triplefin of the family Trip [tery] giidae, endemic to New Zealand in rock pools",,,,
L22-0612," we might just be seeing the green shoots of something [ much]  grander.
The meaning of green
One",,,,
L22-0613," International Safety Award 2011
Hal [ley]  is the most southerly science research station operated by",,,,
L22-0614," for the size of the beam in the axes perpendicular [ to]  the beam direction,  and  are the RMS",,,,
L22-0615,"

Sari County

Rural Districts of Mazand [aran]  Province

Populated places in Mazandaran Province",,,,
L22-0616,", gender, age, or disability in choosing award [ees] .

Language levels and prerequisites

Beginner
",,,,
L22-0617," allergies that can be attributed to three major sources of [ allergens] : cockroaches, ticks and storage mites. Other less",,,,
L22-0618, invoked her hereditary claim to the Palatinate as [ pretext]  to launch the Nine Years' War in 1,,,,
L22-0619," pharmaceutical and behavioral adjuncts, can considerably improve cessation [ rates]  in smokers. Smoking is associated with socioeconomic disadvantage and",,,,
L22-0620,". Murray describes three layers of media design. These [ include]  inscription, transmission and representation. Inscription is the",,,,
L22-0621, over the years ranging from 1 million to a [ much]  larger 18 million. Henry Farmer Dobyns,,,,
L22-0622," geyser
- Evaluate different geyser models for [ their]  performance simulation of a real geyser
- Accept",,,,
L22-0623," by the Earl of Feversham as a shooting [ lodge] . The small church of St Nicholas, now a",,,,
L22-0624," he took office, he became the youngest judge of [ a]  court of last resort in the English-speaking world",,,,
L22-0625," design of Central Park. Vaux invited Frederick Law Olm [sted] , who",,,,
L22-0626,"76, Morris, a Loyalist, avoided [ service]  in North America. 

His wife died in",,,,
L22-0627, certain how abundant the shrub was before the habitat was [ altered]  because it was not even discovered until the silv,,,,
L22-0628," has done lead roles on television serials, web [ series]  and films.

Television

References

External links",,,,
L22-0629," Newbold saying the system had become ""a large [ and]  expensive failure"". Byers resigned as CEO in February ",,,,
L22-0630," basis, both of which were eventually achieved.

 [During]  Kimball's term, the beginning of the term",,,,
L22-0631, date there has been no comprehensive review of psychological outcomes [ in]  this group. Empirical and clinical definitions of “AYA,,,,
L22-0632," the Bosch Motronic 3.3 system, [ and]  the ignition system is a coil-on-plug",,,,
L22-0633," of uniqueness is addressed in the spotlight text The many [ ways]  of building an empty, unchanging universe.
Syn",,,,
L22-0634," School, a Chicago-based institution that Jeanner [et]  described as a ""crash course"" in broadcasting.",,,,
L22-0635," spoons, or walking sticks. Figure carving is also [ common] , particularly of Nativity figures. In",,,,
L22-0636," new technology and learning quarter, is opening in two [ stages] , with the first phase having opened in 2",,,,
L22-0637, to Ithaca. Upon its return to Scheria this [ ship]  and its sailors were transformed to stone by Neptune as,,,,
L22-0638," Mexico and the founder of the personal growth workshop "" [The]  Experience"". O'Leary was an openly lesbian political",,,,
L22-0639," by the Aldine Independent School District, was five [ miles]  from the closest public schools. Bordersville was around",,,,
L22-0640, the employment of anyone under the age of 1 [6]  years through the Fair Labor Standards Act of 1,,,,
L22-0641,"<bos>West Roxbury station [ is]  an MBTA Commuter Rail station in Boston,",,,,
L22-0642," for office in 1994 and ready [ for]  a change, he closed his law practice to become",,,,
L22-0643," ambitious plan that will be formally presented at the UN [ climate]  change conference in Poland this week.
Home to",,,,
L22-0644," (Effie), Susanna, and Ellen (Nell [ie] ).

When Shaw was five years old, the",,,,
L22-0645, is unique because it developed nests to meet the specific [ needs]  of African penguins. Guano nests provided a very,,,,
L22-0646," nutrients in the home landscape. How lawns and landscapes [ are]  irrigated directly impacts the natural environment, so landscape maintenance",,,,
L22-0647, kiln shelves – frozen in place by the melted fly [ ash]  – and have to be ground to remove sharp edges,,,,
L22-0648, Missionaries chose to employ the term Chin to christ [en]  those on the Burmese side and the term Kuki,,,,
L22-0649,"28 to 1931. Shortly [ after] , he worked at the Bank for International Settlements in",,,,
L22-0650, 16 and began stripping to support herself and [ her]  child in 1990. In ,,,,
L22-0651,"0, expired without action by the Senate, prior [ to]  his recess appointment.

Feikens was nominated",,,,
L22-0652, This law applies however then only if forthe characteristics [ responsible]  persons of genes on different Chromosomen sit (,,,,
L22-0653,"1923
 the Central Buildings on Honour [ Avenue]  in Graceville between Verney Road West and R",,,,
L22-0654, winter crop in a number of years—essentially on [ a]  long fallow. Termites (and other soil,,,,
L22-0655," perception, issues related to global environmental change, experiences [ with]  sound and music, and notions of individuality. A",,,,
L22-0656,"1, 2010. The second [ track]  of the single, ""Change"" is set to",,,,
L22-0657,"go"" technology. These cards continue to be offered [ by]  Canadian Tire Bank.

In 200",,,,
L22-0658," all-time caps leader for the United States, [ until]  Mike MacDonald broke his record in 201",,,,
L22-0659, capital had always been opposed to surface transport on this [ road] . Construction began in 1894 and,,,,
L22-0660,"modern Tunisia) to Egypt. The Fatimids [ founded]  the city of Cairo (, ""the Victorious"")",,,,
L22-0661," ""Love for Life"".

Chad Gerlach rode [ with]  the team in 2009 after years",,,,
L22-0662, structured and unstructured data that requires a different than traditional [ handling]  techniques and processing approach in order to uncover the insights,,,,
L22-0663," the gold, silver and iron crosses;
The [ star]  has crossed swords affixed to the oblique rays of the",,,,
L22-0664," had the Channel concession renewed for ten years, but [ only]  on condition that communication was established by September 1",,,,
L22-0665,"8. Each of Northern Ireland's eighteen Westminster [ Parliamentary]  constituencies elected six members by single transferable vote, giving",,,,
L22-0666," company also has smaller design offices in the UK, [ Spain] , Germany,
and Japan, which are tasked",,,,
L22-0667,"969
5 ft 6 in gauge [ locomotives] ",,,,
L22-0668,"-view chest radiographs, and flexible sigmoidos [copies] . Men received serial chest radiographs, flexible sigmo",,,,
L22-0669," it that many of the sick were cured through contact [ with]  the hairs.

According to Roman Catholic Saints,",,,,
L22-0670," textbooks, was an editor of nine textbooks, five [ mon] ographic notebooks magazines on pain and its treatment, and",,,,
L22-0671," a couple.

Cast
 Sonja Ziemann as [ Hel] ga Lüdersen
 Rudolf Prack as Walter",,,,
L22-0672,depth look at the first phase necessary for completion of [ the]  garden: Soil Preparation. Through the perspectives of key,,,,
L22-0673, Baker’s Dozen Labs digital manual provides  [2] 78 pages of teaching material! Thirteen labs with,,,,
L22-0674,<bos>The North Carolina Coastal Federation has developed [ a]  working map of sites along the North Carolina coast where,,,,
L22-0675," James Trefil presents a comprehensive, thematic survey [ of]  the history of science from its roots in different cultures",,,,
L22-0676,"quiet,” “content,” or “simple.” Judaism [ understands]  the word to mean “whole” or “complete",,,,
L22-0677," Tarrytown before entering Treutlen County. [ In]  Soperton, they intersect US��22",,,,
L22-0678,"Just as the tomatoes in your garden grow and the [ varieties]  of tomatoes in markets continue to increase in number,",,,,
L22-0679, alterations of the histones cause the down regulation of [ genes]  encoding proteins involved in the inflammatory response.  Thus,,,,
L22-0680," existing research on non-wood forest products and to [ promote]  awareness of the resulting information,
- to encourage",,,,
L22-0681," became as popular in there as in their homeland. [ A]  third album, Stand Up was released and scored another",,,,
L22-0682," skills—including critical thinking, complex reasoning, and [ writing] —during their first two years of college.

",,,,
L22-0683, few years. The unexpected result of these investigations was [ to]  show that power amplifiers of extraordinarily low distortion ...,,,,
L22-0684," the synthesis of collagen, and without it, the [ faulty]  collagen cannot maintain the vein walls and rupture, leading",,,,
L22-0685,"Sexual cannibalism is considered to be a psychosexual [ disorder] , which involves a person sexualizing the consumption of",,,,
L22-0686, pausing on each for several seconds. Ask: What [ do]  all these animals have in common? (Answer:,,,,
L22-0687," source of support, development and mutual challenge. They [ can]  also be incredibly frustrating and time consuming and produce disappointing",,,,
L22-0688," of the University of Oxford

References

Lists of [ people]  associated with the University of Cambridge
Cambridge",,,,
L22-0689," Pakistan and Afghanistan
 an adjective for something related to [ any]  of the other entities known as Baloch (disambiguation",,,,
L22-0690," congregation.

History

The congregation was founded by [ Cardinal]  de La Rochefoucauld, commendatory ab",,,,
L22-0691," influence.(7) As the 21st [ century]  began, some experts thought it plausible that the Sun",,,,
L22-0692,"alia, scrapping its 2300- [strong]  workforce. Nokia, having received approximately ",,,,
L22-0693, several members of the media ridiculed Messiah College. Jon [ Stewart]  on The Daily Show referred to Messiah as a school,,,,
L22-0694, out to discover that a thin thread of solidified metal [ was]  hanging from the nib. The nib was replaced by,,,,
L22-0695," company. After failing, he resurrected the company, [ with]  Selena Mead as its first project, but it was",,,,
L22-0696," outposts in the North Atlantic where they farmed and [ ran] ched. But quite suddenly, at the mid-",,,,
L22-0697, the arts and its commitment to help artists create and [ audiences]  see art from a biblical worldview will be one of,,,,
L22-0698,. The movement hopes to bring together people of all [ ages]  and from all corners of the Earth to call upon,,,,
L22-0699, the season crowned champions. The first three teams were [ promoted]  to the 2016–17,,,,
L22-0700,.  Today three news items have been published on [ earthquakes] ).  (There are flies in the cellar).,,,,
L22-0701, style pillars at the entrance of the stadium are the [ last]  remnants of the association with the erstwhile palace grounds.,,,,
L22-0702," stuff.
So, how can the word love [ be]  thrown around so ignorantly in the English language like",,,,
L22-0703,"940s, served as the first director [ of]  the sinfonietta. The orchestra became a member",,,,
L22-0704,"2007, many site users received a [ hoax]  email purporting to be from the Recording Industry Association of",,,,
L22-0705," are familiar with the symptoms of food poisoning, such [ as]  nausea and diarrhea, but how does food become contaminated",,,,
L22-0706," depletion of the ozone layer by the economic slump, [ and]  they have no solutions in the short term to correct",,,,
L22-0707, of The Other Top 50 Rabbis by [ Let] ty Cottin Pogrebin. Gottlieb led a,,,,
L22-0708,it Raaj is an Indian actor who started his [ career]  in 2002 and has done lead,,,,
L22-0709," there are several fundraisers every year to help the Mil [foil]  Foundation, which then uses the money to pay for",,,,
L22-0710,"-1862), commented in despatches [ to]  the Secretary of State Lord Russell that:
-(",,,,
L22-0711,021 publication in Science Advances. The researchers [ found]  that tooth growth could be stimulated by suppressing USAG,,,,
L22-0712, helped an general organisation of researchers “sample a ancient [ atmosphere] ” to establish a contentment of vital things existent on,,,,
L22-0713," working in a factory. He was invited to set [ up]  his own shop in Gori, where he met and",,,,
L22-0714," to 1680s occupation of the [ Salisbury]  site.

See also
National Register of Historic",,,,
L22-0715,"an professional footballer who plays as a midfielder for SV [ TEC] . He also holds Dutch citizenship.

Club career",,,,
L22-0716," then-governor LeRoy Collins. The brochure [ includes]  information on the Florida Caverns State Park,",,,,
L22-0717," the scenes as appearing in films, TV shows and [ Broadway] , including feature film performances in Dance with Me,",,,,
L22-0718,<bos>Bernd Reinhold Gerhard Heynemann ( [born]  22 January 1954 in,,,,
L22-0719," he has exposed in fairs like ARCO and he [ has]  talked about  religiosity.

Discography",,,,
L22-0720, (from September 2015) providing [ education]  for children in the Glendale area from 2 years,,,,
L22-0721," more likely than older drivers to crash for every mile [ driven] .
The graduated licensing programs are meant to prevent",,,,
L22-0722, PSYC 101. Principles from evolutionary [ biology]  are applied to the study of human behavior and the,,,,
L22-0723,"010 the station was approved and began broadcasting [ on]  88.7 .

Translators
",,,,
L22-0724,<bos>The web today is almost unrecognizable from the early [ days]  of white pages with lists of blue links. Now,,,,
L22-0725, Evel Knievel is a one-off television [ documentary]  presented by Richard Hammond and first broadcast on 2,,,,
L22-0726,acey Rodgers   (9 October 191 [5]  – 10 January 1997,,,,
L22-0727," Jay-Oh-Bee"", performed by Canibus [ with]  Biz Markie, appears in the film Office Space",,,,
L22-0728,<bos>Tales of Dunk and Egg is [ a]  series of fantasy novellas by George R. R,,,,
L22-0729," of Oz (although many realms within Oz remained unaware [ of]  her authority).

In some of his last Oz",,,,
L22-0730,"
What is connected healthcare?
It is the [ use]  of new technologies to improve one’s health,",,,,
L22-0731,", some have proposed that the Scandinavians were [ the]  first to grow hops specifically for beer. [For",,,,
L22-0732,"

Career
Mainly self-taught, she [ began]  painting local scenes and characters at the age of ",,,,
L22-0733," for his role in addressing challenging technological and scientific aspects [ whose]  solution led to the first detection of gravitational waves"".",,,,
L22-0734," studies of muscle function, using common technologies that they [ jointly]  developed.
As with the other Research Themes,",,,,
L22-0735," that combines film, text and hypermedia form, [ gave]  rise to the non-profit organization The Dawn Project",,,,
L22-0736," Elvis Presley and bolstered the careers of a number of [ up] -and-coming musicians, including The Four L",,,,
L22-0737," by Saint Boniface in 742 when [ he]  appointed the first bishop of Würzburg, Saint",,,,
L22-0738," such as tracking financial transactions, managing property records and [ voting]  systems. In the future, it may be used",,,,
L22-0739," satellites, targeting systems, missiles and electro-optical [ devices] .

Products include:
 FAA-approved Parts",,,,
L22-0740," pronunciations into categories for dates that have similiar [ pronunci] ations.)
- There are 4 levels to",,,,
L22-0741,909 to1935. He [ played]  a central role in expanding the company's fleet,,,,
L22-0742, are simple machine translations like those on Facebook and other [ social]  media. They will give you an idea of what,,,,
L22-0743, and Le Guess Who?. The 405 [ has]  been recognised by a number of publications such as the,,,,
L22-0744, Self-Defense Force Eastern Army. Mishima Yuk [io]  committed suicide here in 1970.,,,,
L22-0745," is very important to us and has helped us to [ become]  who we are today.
I believe that we",,,,
L22-0746," a stone cross in this cemetery, recording the burial [ there]  during the pestilence of 50,",,,,
L22-0747,"9th century artist, purchased and renovated the old [ homestead]  in 1885 to create one of",,,,
L22-0748," greatest extinction threat, despite the fact that existing data [ shows]  this clearly not to be the case. It is",,,,
L22-0749," school, the lyrics narrate a summer romance that [ comes]  to a sudden end, after which the narrator asks",,,,
L22-0750, Board of the American Association of Medical Assistants Endowment. [ The]  Paralegal program is approved by the American Bar Association,,,,
L22-0751,"<bos>MAKE A WORD SEARCH JR
Make your [ own]  Word Search Puzzle - Junior! Children can practice spelling",,,,
L22-0752," those cells. Like these two formulas:
Type [ the]  first formula into a blank cell to get the sal",,,,
L22-0753,".

Money booths are rented from event management and [ party]  supply companies and often used as attractions at trade fairs",,,,
L22-0754, as we went along. It was surprising how much [ time]  is needed to produce just a three-minute film,,,,
L22-0755,"example.org
New Guidance Will Enhance Sports Opportunities [ for]  Students with Disabilities
Inclusive Fitness Coalition compares impact to",,,,
L22-0756," lies approximately  north of Mińsk Mazowiecki [ and]   east of Warsaw.

The gmina covers",,,,
L22-0757," physiologic effects when they are consumed. The desired, [ therapeutic]  effect of a drug is called its indication for use",,,,
L22-0758,100 the de Bully line either died [ out]  or possibly even forfeited their lands. The ownership of,,,,
L22-0759," (drums). They were signed by Workers Playtime [ sub] -label Elemental, releasing their debut EP in May",,,,
L22-0760,<bos>This article is one [ of]  a series providing information about endemism among birds in,,,,
L22-0761, a day. This group has grown from 6 [0] 0 million to 1.4 billion; if,,,,
L22-0762," reflex in most patients.
The ERS guidelines [ note]  that about 15 per cent of patients taking",,,,
L22-0763, Nubia. The ovacaprines were domesticated [ and]  often depicted on the stone tomb murals of the ph,,,,
L22-0764,", Postmates, SendGrid, Survata, [ Gn] ip, BrightRoll, Vidyard, LiveR",,,,
L22-0765," of the skull are symbolized.

Hindu temples and [ depiction]  of some Hindu deities have displayed association with skulls.",,,,
L22-0766,". There is no right or wrong way in exploring [ one] ’s own creativity!
4) Self-",,,,
L22-0767," reduced-calorie diet can boost fat loss and reveal [ your]  newly toned, defined chest muscles.
Lose the",,,,
L22-0768,"run,
And smalle fowles maken [ melody] 
That sleepen (who sleep) all the",,,,
